baker,series,episode,technical,result
Annetha,1,1,2,FALSE
David,1,1,3,FALSE
Edd,1,1,1,FALSE
Jasminder,1,1,NA,FALSE
Jonathan,1,1,9,FALSE
Lea,1,1,10,FALSE
Louise,1,1,NA,FALSE
Mark,1,1,NA,FALSE
Miranda,1,1,8,FALSE
Ruth,1,1,NA,FALSE
Annetha,1,2,7,FALSE
David,1,2,8,FALSE
Edd,1,2,6,FALSE
Jasminder,1,2,2,FALSE
Jonathan,1,2,1,FALSE
Louise,1,2,4,FALSE
Miranda,1,2,3,FALSE
Ruth,1,2,5,FALSE
David,1,3,4,FALSE
Edd,1,3,1,FALSE
Jasminder,1,3,5,FALSE
Jonathan,1,3,6,FALSE
Miranda,1,3,3,FALSE
Ruth,1,3,2,FALSE
David,1,4,5,FALSE
Edd,1,4,3,FALSE
Jasminder,1,4,2,FALSE
Miranda,1,4,1,FALSE
Ruth,1,4,4,FALSE
Edd,1,5,2,FALSE
Jasminder,1,5,4,FALSE
Miranda,1,5,1,FALSE
Ruth,1,5,3,FALSE
Edd,1,6,NA,FALSE
Miranda,1,6,NA,FALSE
Ruth,1,6,NA,FALSE
Ben,2,1,2,FALSE
Holly,2,1,1,FALSE
Ian,2,1,10,FALSE
Janet,2,1,8,FALSE
Jason,2,1,6,FALSE
"""Jo""",2,1,NA,NA
Keith,2,1,12,FALSE
Mary-Anne,2,1,4,FALSE
Robert,2,1,3,FALSE
Simon,2,1,9,FALSE
Urvashi,2,1,7,FALSE
Yasmin,2,1,5,FALSE
Ben,2,2,1,FALSE
Holly,2,2,4,FALSE
Ian,2,2,2,FALSE
Janet,2,2,8,FALSE
Jason,2,2,3,FALSE
"""Jo""",2,2,NA,NA
Mary-Anne,2,2,9,FALSE
Robert,2,2,5,FALSE
Simon,2,2,11,FALSE
Urvashi,2,2,7,FALSE
Yasmin,2,2,6,FALSE
Ben,2,3,3,FALSE
Holly,2,3,6,FALSE
Ian,2,3,10,FALSE
Janet,2,3,8,FALSE
Jason,2,3,7,FALSE
"""Jo""",2,3,NA,NA
Mary-Anne,2,3,5,FALSE
Robert,2,3,4,FALSE
Urvashi,2,3,9,FALSE
Yasmin,2,3,2,FALSE
Ben,2,4,5,FALSE
Holly,2,4,3,FALSE
Janet,2,4,4,FALSE
Jason,2,4,1,FALSE
